file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,class,1,2,1,1,14,1,0,12,15,0.8333333,0.0,0.0,6,5,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,5,31,5,1,2,0,1,2,3,5,1,5,1,0,0,0,123,1,0
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest$CallMethodOnlyOnceRule$Dummy,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,10,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$EmptyTest,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6,9,0
E:\FYP_Project\temp_batch\File_5269.java,com.puppycrawl.tools.checkstyle.utils.NullUtil,class,3,3,0,3,3,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,1,0,0,0,0,1,0,0,0,98,17,0
E:\FYP_Project\temp_batch\File_2190.java,SuccessfulTest,innerclass,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
E:\FYP_Project\temp_batch\File_2170.java,junit.tests.framework.NoTestCaseClass,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
E:\FYP_Project\temp_batch\File_3865.java,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed,innerclass,3,3,0,3,3,2,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamError,innerclass,6,6,0,6,5,1,0,1,10,0.0,0.0,0.0,5,2,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,10,9,0
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,class,18,18,0,18,12,5,0,11,44,0.7083333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,2,0,2,0,0,2,0,17,228,0,0,0,0,0,4,17,15,0,8,0,0,16,0,44,1,0
E:\FYP_Project\temp_batch\File_2155.java,org.junit.rules.MethodRulesTest$HasMethodReturningMethodRule$Anonymous7$Anonymous8,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-1,0
E:\FYP_Project\temp_batch\File_2174.java,org.junit.tests.experimental.AssumptionTest$HasFailingAssumption,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,0
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,innerclass,2,2,0,2,8,1,0,6,5,0.5,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,29,7,0,0,0,0,0,1,2,5,2,1,0,0,0,29,2,0
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,class,9,9,0,9,42,3,0,56,595,0.0,0.0,0.0,35,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,16,324,0,3,0,8,0,67,35,51,1,51,3,0,1,19,100,0,0
E:\FYP_Project\temp_batch\File_4159.java,CircuitBreaker,interface,0,0,0,0,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1,0
E:\FYP_Project\temp_batch\File_2141.java,ComparisonCompactor,innerclass,2,3,1,2,11,1,0,10,0,0.625,0.0,0.0,4,0,2,2,0,0,2,0,0,0,6,3,0,6,0,0,6,0,0,72,5,2,4,0,0,3,7,13,8,13,2,0,1,0,54,10,0
E:\FYP_Project\temp_batch\File_2174.java,org.junit.tests.experimental.AssumptionTest$HasPassingAssumption,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,0
E:\FYP_Project\temp_batch\File_2155.java,org.junit.rules.MethodRulesTest$BeforesAndAfters,innerclass,6,6,0,6,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,0,0,0,24,0,0,0,0,0,3,0,4,0,2,0,1,0,0,13,9,0
E:\FYP_Project\temp_batch\File_2155.java,org.junit.rules.MethodRulesTest$TestMethodRule,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,10,0
E:\FYP_Project\temp_batch\File_2167.java,junit.tests.extensions.RepeatedTestTest$SuccessTest,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
E:\FYP_Project\temp_batch\File_5217.java,org.apache.commons.lang3.builder.StandardToStringStyle,class,1,1,0,1,41,2,0,40,820,1.0,0.0,0.0,41,0,41,0,0,0,41,0,0,0,1,1,0,1,0,0,1,0,0,125,20,0,0,0,0,0,1,1,0,1,0,0,0,0,117,1,0
E:\FYP_Project\temp_batch\File_2181.java,org.junit.tests.junit3compatibility.ForwardCompatibilityTest$NoExceptionTest,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
E:\FYP_Project\temp_batch\File_2155.java,org.junit.rules.MethodRulesTest$NoRulesTest,innerclass,1,1,0,1,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,0
E:\FYP_Project\temp_batch\File_690.java,SerializationFormat,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
E:\FYP_Project\temp_batch\File_998.java,TestUtil,class,27,28,1,27,46,1,0,52,561,0.9705882,0.0,0.0,34,33,30,4,0,0,30,0,0,0,1,1,0,1,0,0,1,0,0,198,38,2,6,3,0,12,4,31,1,33,3,0,0,11,292,17,0
E:\FYP_Project\temp_batch\File_5237.java,StrLookup,class,7,10,3,7,5,1,0,0,10,0.8,0.0,0.0,5,3,4,0,1,0,5,1,0,0,2,2,0,2,0,0,2,0,0,33,3,0,0,0,0,0,0,2,0,2,0,0,2,0,142,1025,0
E:\FYP_Project\temp_batch\File_4075.java,org.junit.rules.StopwatchTest$SuccessfulTest,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
E:\FYP_Project\temp_batch\File_2157.java,org.junit.rules.TestWatcherTest$CallbackArguments$Failed$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,-1,0
E:\FYP_Project\temp_batch\File_5222.java,org.apache.commons.lang3.mutable.MutableByte,class,2,3,1,2,32,2,0,6,0,0.53225803,0.0,0.0,31,0,31,0,0,0,31,0,0,0,2,1,0,2,0,0,1,0,5,111,20,0,1,0,1,0,1,18,0,6,1,0,0,0,134,1,0
E:\FYP_Project\temp_batch\File_5215.java,org.apache.commons.lang3.builder.EqualsBuilder,class,15,16,1,15,160,1,0,65,183,0.85034007,0.0,0.0,42,10,34,4,1,3,38,0,0,0,7,1,0,7,0,0,1,0,27,448,85,11,56,2,3,1,11,46,0,27,3,0,0,0,325,1,0
E:\FYP_Project\temp_batch\File_2183.java,org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableViaOrderWith$SuiteOrderedReverseAlphanumerically,innerclass,3,3,0,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$AdditionTest,innerclass,5,5,0,5,3,1,0,2,0,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,16,1,0,0,0,0,1,12,3,1,3,0,0,0,0,12,9,0
E:\FYP_Project\temp_batch\File_2183.java,org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableWithSuiteMethod$Unordered,innerclass,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,9,0
E:\FYP_Project\temp_batch\File_2155.java,org.junit.rules.MethodRulesTest$CallsMethodReturningRuleOnlyOnce$Dummy$Anonymous9,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
E:\FYP_Project\temp_batch\File_3865.java,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyOpen,innerclass,3,3,0,3,4,2,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,21,26,0
E:\FYP_Project\temp_batch\File_5574.java,com.puppycrawl.tools.checkstyle.filters.suppressionxpathsinglefilter.Example11,class,0,0,0,0,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,3,4,0,2,0,0,0,0,6,1,0
E:\FYP_Project\temp_batch\File_2157.java,org.junit.rules.TestWatcherTest,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure,class,1,2,1,1,4,4,0,2,0,0.5625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,2,0,4,0,0,2,0,0,92,3,0,0,0,0,0,2,4,0,4,0,0,1,0,79,1,0
E:\FYP_Project\temp_batch\File_2157.java,org.junit.rules.TestWatcherTest$CallbackArguments$DeprecatedSkipped$Anonymous4,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8,-1,0
E:\FYP_Project\temp_batch\File_2183.java,org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableViaOrderWith,innerclass,11,11,0,11,5,5,0,3,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,4,69,0,0,0,0,0,6,0,6,0,5,0,0,6,0,25,9,0
E:\FYP_Project\temp_batch\File_973.java,Computer$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
E:\FYP_Project\temp_batch\File_790.java,org.apache.commons.lang3.function.Failable,class,25,26,1,25,58,1,0,36,666,0.0,0.0,0.0,37,36,35,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,37,195,26,1,8,11,0,3,0,5,0,12,4,0,0,20,290,1,0
E:\FYP_Project\temp_batch\File_2157.java,org.junit.rules.TestWatcherTest$Callbacks,innerclass,17,17,0,17,5,2,0,14,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,4,1,3,1,0,0,0,0,11,81,1,1,0,0,0,24,3,8,0,8,1,0,6,0,45,9,0
E:\FYP_Project\temp_batch\File_973.java,Computer$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
E:\FYP_Project\temp_batch\File_2157.java,org.junit.rules.TestWatcherTest$CallbackArguments$Succeeded$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-1,0
E:\FYP_Project\temp_batch\File_2047.java,Typed,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
E:\FYP_Project\temp_batch\File_5224.java,org.apache.commons.lang3.text.StrLookup$MapStrLookup,innerclass,2,2,0,2,3,2,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,1,0,0,0,0,1,0,1,1,0,0,0,45,26,0
E:\FYP_Project\temp_batch\File_2151.java,org.junit.internal.runners.statements.FailOnTimeoutTest,class,17,18,1,17,17,5,0,32,66,0.6923077,0.0,0.0,13,1,11,2,0,0,11,0,0,0,1,0,1,0,0,0,0,0,22,149,3,1,0,0,0,14,4,29,0,24,2,3,4,0,144,1,0
E:\FYP_Project\temp_batch\File_5812.java,org.apache.commons.lang3.exception.ExceptionUtilsTest$ExceptionWithCause,innerclass,1,1,0,1,4,3,0,1,0,0.5,0.0,0.0,4,0,2,0,0,2,4,0,0,1,2,1,0,2,0,0,1,0,0,17,1,0,0,0,0,0,1,2,0,2,0,0,0,0,33,26,0
E:\FYP_Project\temp_batch\File_2151.java,org.junit.internal.runners.statements.FailOnTimeoutTest$Anonymous2,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,-1,0
E:\FYP_Project\temp_batch\File_2151.java,org.junit.internal.runners.statements.FailOnTimeoutTest$Anonymous1,anonymous,1,1,0,1,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,2,0,1,0,1,0,0,0,0,16,-1,0
E:\FYP_Project\temp_batch\File_2181.java,org.junit.tests.junit3compatibility.ForwardCompatibilityTest$MarkerRunner,innerclass,3,3,0,3,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,1,0,0,0,0,0,0,13,9,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$PrivateConstructor,innerclass,4,4,0,4,3,1,0,1,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,0
E:\FYP_Project\temp_batch\File_659.java,junit.tests.runner.ResultTest$ResultWithFixedRunTime,innerclass,2,2,0,2,7,2,0,5,0,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,2,0,0,25,6,0,0,0,0,0,2,2,0,2,0,0,0,0,33,10,0
E:\FYP_Project\temp_batch\File_2151.java,org.junit.internal.runners.statements.FailOnTimeoutTest$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
E:\FYP_Project\temp_batch\File_4597.java,com.puppycrawl.tools.checkstyle.utils.ScopeUtil,class,4,5,1,4,42,1,0,28,153,0.0,0.0,0.0,18,17,16,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17,138,18,6,17,0,0,0,1,39,0,20,3,0,0,3,111,17,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamErrorNumberOfParameters,innerclass,6,6,0,6,5,1,0,1,10,0.0,0.0,0.0,5,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,4,0,0,0,0,0,0,0,0,15,9,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest,class,35,36,1,35,29,2,0,29,364,0.7586207,0.0,0.0,29,0,28,1,0,0,28,0,0,0,1,1,0,1,0,0,0,0,36,466,0,0,0,0,0,28,35,37,5,30,0,0,27,0,127,1,0
E:\FYP_Project\temp_batch\File_2183.java,org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableViaOrderWith$OrderedReverseAlphanumerically,innerclass,3,3,0,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
E:\FYP_Project\temp_batch\File_690.java,ResultWithFixedRunTime,innerclass,3,4,1,3,7,1,0,5,0,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,2,0,0,25,6,0,0,0,0,0,2,2,0,2,0,0,0,0,33,10,0
E:\FYP_Project\temp_batch\File_4075.java,org.junit.rules.StopwatchTest$SkippedTest,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
E:\FYP_Project\temp_batch\File_945.java,org.apache.commons.lang3.builder.Reflection,class,0,1,1,0,2,1,0,2,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0,1,0,0,0,0,1,0,0,0,28,16,0
E:\FYP_Project\temp_batch\File_2145.java,org.junit.internal.management.FakeThreadMXBean,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,0
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeAndAfter,innerclass,6,6,0,6,5,1,0,1,10,0.0,0.0,0.0,5,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,2,1,2,0,0,0,0,0,0,11,9,0
E:\FYP_Project\temp_batch\File_3865.java,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$AbstractStateStrategy,innerclass,3,3,0,3,4,1,0,2,3,0.0,0.0,0.0,3,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,67,1034,0
E:\FYP_Project\temp_batch\File_28.java,org.junit.internal.runners.MethodValidator,class,8,9,1,8,17,1,0,18,0,0.35714287,0.0,0.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,1,0,3,60,1,1,4,1,0,15,2,5,5,5,2,0,0,0,55,1,0
E:\FYP_Project\temp_batch\File_2185.java,org.junit.tests.running.methods.AllMethodsTests,class,9,9,0,9,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
E:\FYP_Project\temp_batch\File_1045.java,com.puppycrawl.tools.checkstyle.gui.CodeSelector,class,3,3,0,3,3,1,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,20,0,0,0,0,0,0,0,3,0,2,1,0,0,0,27,1,0
E:\FYP_Project\temp_batch\File_2157.java,org.junit.rules.TestWatcherTest$Callbacks$ViolatedAssumptionTest,innerclass,3,3,0,3,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,9,0
E:\FYP_Project\temp_batch\File_5237.java,MapStrLookup,innerclass,4,5,1,4,3,1,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,1,0,0,0,0,1,0,1,1,0,0,0,45,26,0
E:\FYP_Project\temp_batch\File_2183.java,org.junit.tests.manipulation.OrderWithTest$UnOrderableRunnersAreHandledWithoutCrashing,innerclass,5,5,0,5,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,1,0,0,2,0,14,9,0
E:\FYP_Project\temp_batch\File_2165.java,org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParametersFactory,class,4,6,2,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
E:\FYP_Project\temp_batch\File_2548.java,Annotatable,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
E:\FYP_Project\temp_batch\File_2176.java,org.junit.tests.experimental.max.MaxStarterTest,class,24,25,1,24,20,4,0,35,0,0.5526316,0.0,0.0,19,0,18,1,0,0,18,0,0,0,2,0,0,2,0,0,0,0,19,181,0,0,0,0,0,20,18,48,1,48,1,2,6,0,103,1,0
