file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\FYP_Project\temp_batch\File_981.java,Clock,nanoTime/0,false,179,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest$CustomCounter$Anonymous1,evaluate/0,false,80,0,4,0,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_2542.java,MyResource,close/0,false,21,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,"TestSuite/2[java.lang.Class<? extends junit.framework.TestCase>,java.lang.String]",true,153,1,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,countTestCases/0,false,211,0,0,0,0,2,1,7,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,17,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,"TestSuite/2[java.lang.Class<? extends junit.framework.TestCase>[],java.lang.String]",true,189,1,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,testAt/1[int],false,256,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,toString/0,false,277,1,1,0,1,2,2,6,2,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,TestSuite/1[java.lang.Class<?>],true,117,1,3,2,1,1,1,3,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,getName/0,false,224,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,"addTestMethod/3[java.lang.reflect.Method,java.util.List<java.lang.String>,java.lang.Class<?>]",false,284,1,6,1,5,4,9,14,2,1,3,9,5,3,0,0,0,0,3,0,1,1,2,0,0,0,12,2,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,"runTest/2[junit.framework.Test,junit.framework.TestResult]",false,240,2,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,setName/1[java.lang.String],false,249,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,isPublicTestMethod/1[java.lang.reflect.Method],false,299,1,2,1,1,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,addTest/1[junit.framework.Test],false,197,1,5,5,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,testCaseForClass/1[java.lang.Class<?>],false,176,3,3,1,2,2,4,8,2,0,1,4,1,1,0,0,0,0,1,0,0,1,1,0,0,0,11,2,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,isTestMethod/1[java.lang.reflect.Method],false,303,0,2,2,0,2,5,3,1,0,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,2,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,addTestSuite/1[java.lang.Class<? extends junit.framework.TestCase>],false,204,1,2,0,2,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,testCount/0,false,263,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,addTestsFromTestCase/1[java.lang.Class<?>],false,121,2,5,1,4,6,11,25,2,2,1,11,4,4,2,1,1,0,5,1,4,3,2,0,0,0,30,2,0,false
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,run/1[junit.framework.TestResult],false,231,2,1,0,1,3,2,8,0,0,1,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,15,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,getTestConstructor/1[java.lang.Class<?>],false,80,0,2,2,0,2,1,8,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,9,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,warning/1[java.lang.String],false,92,3,4,4,0,1,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,9,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,TestSuite/1[java.lang.Class<?>[]],true,170,1,2,0,2,2,2,5,0,0,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,17,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,TestSuite/0,true,108,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,"createTest/2[java.lang.Class<?>,java.lang.String]",false,49,3,3,1,2,7,8,31,5,2,2,8,2,1,0,1,2,4,11,2,3,4,3,0,0,0,37,9,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,TestSuite/1[java.lang.String],true,161,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
E:\FYP_Project\temp_batch\File_885.java,junit.framework.TestSuite,tests/0,false,270,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,extractDiff/1[String],false,165,1,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,2,0,false
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,compactPrefix/0,false,151,1,0,0,0,2,2,6,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,actualDiff/0,false,147,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,expectedDiff/0,false,143,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,compactSuffix/0,false,158,1,0,0,0,2,2,6,2,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2141.java,DiffExtractor,DiffExtractor/0,true,138,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,2,0,true
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,FormattableUtils/0,true,148,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,"append/5[java.lang.CharSequence,java.util.Formatter,int,int,int]",false,60,1,1,0,1,1,1,3,1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,true
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,"append/6[java.lang.CharSequence,java.util.Formatter,int,int,int,java.lang.CharSequence]",false,125,1,1,0,1,1,1,3,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,true
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,toString/1[java.util.Formattable],false,136,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,true
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,"append/6[java.lang.CharSequence,java.util.Formatter,int,int,int,char]",false,77,1,1,0,1,1,1,3,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,true
E:\FYP_Project\temp_batch\File_5236.java,org.apache.commons.lang3.text.FormattableUtils,"append/7[java.lang.CharSequence,java.util.Formatter,int,int,int,char,java.lang.CharSequence]",false,95,0,3,3,0,9,10,14,1,4,7,10,0,0,1,2,0,1,1,3,4,1,1,0,0,0,41,9,0,true
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest$CallMethodOnlyOnceRule$Dummy,"apply/2[org.junit.rules.Statement,org.junit.rules.Description]",false,225,3,0,0,0,1,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,false
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$EmptyTest,after/0,false,497,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,9,0,false
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$EmptyTest,before/0,false,492,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,9,0,false
E:\FYP_Project\temp_batch\File_5269.java,com.puppycrawl.tools.checkstyle.utils.NullUtil,notNull/1[T],false,52,3,0,0,0,2,0,6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,39,9,0,true
E:\FYP_Project\temp_batch\File_5269.java,com.puppycrawl.tools.checkstyle.utils.NullUtil,NullUtil/0,true,39,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,true
E:\FYP_Project\temp_batch\File_2190.java,SuccessfulTest,successfulTest/0,false,108,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\FYP_Project\temp_batch\File_2170.java,junit.tests.framework.NoTestCaseClass,testSuccess/0,false,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\FYP_Project\temp_batch\File_3865.java,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed,"isStateTransition/3[org.apache.commons.lang3.concurrent.EventCountCircuitBreaker,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker.CheckIntervalData,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker.CheckIntervalData]",false,257,2,2,0,2,2,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
E:\FYP_Project\temp_batch\File_3865.java,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed,fetchCheckInterval/1[org.apache.commons.lang3.concurrent.EventCountCircuitBreaker],false,248,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,true
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamError,test/0,false,440,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamError,beforeParam/1[java.lang.String],false,424,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamError,afterParam/0,false,428,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,false
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamError,data/0,false,435,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,9,0,false
E:\FYP_Project\temp_batch\File_2184.java,org.junit.tests.running.classes.ParameterizedTestTest$BeforeParamAndAfterParamError,BeforeParamAndAfterParamError/1[java.lang.String],true,431,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,usesFieldAndMethodRule/0,false,149,2,0,0,0,1,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,testCallMethodOnlyOnceRule/0,false,248,3,1,0,1,1,3,4,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,classRuleOrdering/0,false,279,4,2,0,2,1,6,6,0,1,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,classRulesModifiableList/0,false,360,4,2,0,2,1,6,6,0,1,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,methodRuleIsAppliedOnce/0,false,175,3,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,ruleIsIntroducedAndEvaluatedOnSubclass/0,false,68,3,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,customRuleIsAppliedOnce/0,false,105,4,2,0,2,1,4,6,0,1,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,ruleIsAppliedOnce/0,false,56,3,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,methodCustomRuleIsAppliedOnce/0,false,214,4,2,0,2,1,4,6,0,1,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,11,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,classRuleOrderingDefault/0,false,310,4,2,0,2,1,6,6,0,1,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,methodRuleIsIntroducedAndEvaluatedOnSubclass/0,false,187,3,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2154.java,org.junit.rules.ClassRulesTest,classRulesModifiableListEmpty/0,false,339,4,2,0,2,1,6,6,0,1,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,1,0,false
E:\FYP_Project\temp_batch\File_2155.java,org.junit.rules.MethodRulesTest$HasMethodReturningMethodRule$Anonymous7$Anonymous8,evaluate/0,false,313,0,4,0,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
E:\FYP_Project\temp_batch\File_2174.java,org.junit.tests.experimental.AssumptionTest$HasFailingAssumption,assumptionsFail/0,false,33,2,1,0,1,1,3,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,false
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,compactPrefix/0,false,151,0,1,1,0,2,2,6,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,actualDiff/0,false,147,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,extractDiff/1[java.lang.String],false,165,0,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,2,0,false
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,expectedDiff/0,false,143,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,compactSuffix/0,false,158,0,1,1,0,2,2,6,2,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,10,1,0,false
E:\FYP_Project\temp_batch\File_2138.java,org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor,DiffExtractor/0,true,138,1,3,1,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,2,0,true
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testSleepQuietlyNormalNoInterrupt/0,false,273,1,0,0,0,1,6,5,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testSleepDuration/0,false,244,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testNullThreadThreadGroupName2/0,false,234,2,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testInvalidThreadId/0,false,183,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testThreadGroupsRef/0,false,357,2,1,0,1,1,7,23,0,4,0,7,0,0,0,0,1,0,9,5,4,0,1,0,0,0,14,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testJoinDuration/0,false,188,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testNullThreadThreadGroup1/0,false,214,2,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testThreadGroups/0,false,288,2,1,0,1,1,11,25,0,4,0,11,0,0,0,0,1,0,10,7,4,0,1,0,0,0,15,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testNullThreadName/0,false,209,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testNullThreadThreadGroup3/0,false,224,2,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testDepreacted/0,false,158,3,0,0,0,1,3,9,0,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,12,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testSleepQuietlyInterruptedFlagPreserved/0,false,265,1,0,0,0,1,6,5,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testThreadsSameName/0,false,439,2,1,0,1,1,6,15,0,2,0,6,0,0,0,0,1,0,3,1,2,0,1,0,0,0,12,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testNullThreadGroupName/0,false,204,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testSleepQuietlyInterruptDuringSleep/0,false,250,1,0,0,0,1,11,13,0,2,0,11,0,0,0,0,0,0,1,3,2,0,1,0,0,1,18,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testComplexThreadGroups/0,false,97,2,2,0,2,8,17,46,0,22,0,17,0,0,3,0,1,0,23,6,22,0,3,0,0,0,31,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testThreadsById/0,false,399,2,1,0,1,1,6,16,0,2,0,6,0,0,0,0,1,0,2,0,2,0,1,0,0,0,12,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testGetAllThreadsDoesNotReturnNull/0,false,176,1,0,0,0,1,5,4,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,false
E:\FYP_Project\temp_batch\File_3859.java,org.apache.commons.lang3.ThreadUtilsTest,testNoThread/0,false,194,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,false
